userID,trajID,poiID,startTime,endTime,#photo,trajLen,poiDuration
29259314@N04,2080,17,1672531200,1672531220,1,4,1
29259314@N04,2080,18,1672531200,1672531220,2,4,1
29259314@N04,2080,12,1672531200,1672531220,3,4,1
29259314@N04,2080,5,1672531200,1672531220,4,4,1
36942952@N00,2706,17,1672531200,1672531220,5,6,1
36942952@N00,2706,23,1672531200,1672531220,6,6,1
36942952@N00,2706,16,1672531200,1672531220,7,6,1
36942952@N00,2706,11,1672531200,1672531220,8,6,1
36942952@N00,2706,7,1672531200,1672531220,9,6,1
36942952@N00,2706,5,1672531200,1672531220,10,6,1
10182842@N08,57,17,1672531200,1672531220,11,4,1
10182842@N08,57,7,1672531200,1672531220,12,4,1
10182842@N08,57,16,1672531200,1672531220,13,4,1
10182842@N08,57,5,1672531200,1672531220,14,4,1
80292103@N00,5728,19,1672531200,1672531220,15,5,1
80292103@N00,5728,1,1672531200,1672531220,16,5,1
80292103@N00,5728,17,1672531200,1672531220,17,5,1
80292103@N00,5728,16,1672531200,1672531220,18,5,1
80292103@N00,5728,6,1672531200,1672531220,19,5,1
101075959@N06,33,19,1672531200,1672531220,20,10,1
101075959@N06,33,7,1672531200,1672531220,21,10,1
101075959@N06,33,16,1672531200,1672531220,22,10,1
101075959@N06,33,23,1672531200,1672531220,23,10,1
101075959@N06,33,12,1672531200,1672531220,24,10,1
101075959@N06,33,24,1672531200,1672531220,25,10,1
101075959@N06,33,25,1672531200,1672531220,26,10,1
101075959@N06,33,4,1672531200,1672531220,27,10,1
101075959@N06,33,14,1672531200,1672531220,28,10,1
101075959@N06,33,6,1672531200,1672531220,29,10,1
129068573@N04,606,19,1672531200,1672531220,30,6,1
129068573@N04,606,16,1672531200,1672531220,31,6,1
129068573@N04,606,11,1672531200,1672531220,32,6,1
129068573@N04,606,7,1672531200,1672531220,33,6,1
129068573@N04,606,18,1672531200,1672531220,34,6,1
129068573@N04,606,6,1672531200,1672531220,35,6,1
15409581@N00,888,19,1672531200,1672531220,36,3,1
15409581@N00,888,7,1672531200,1672531220,37,3,1
15409581@N00,888,6,1672531200,1672531220,38,3,1
33308929@N04,2424,19,1672531200,1672531220,39,3,1
33308929@N04,2424,14,1672531200,1672531220,40,3,1
33308929@N04,2424,6,1672531200,1672531220,41,3,1
52447507@N06,4070,19,1672531200,1672531220,42,3,1
52447507@N06,4070,14,1672531200,1672531220,43,3,1
52447507@N06,4070,6,1672531200,1672531220,44,3,1
51035708949@N01,3990,19,1672531200,1672531220,45,8,1
51035708949@N01,3990,14,1672531200,1672531220,46,8,1
51035708949@N01,3990,16,1672531200,1672531220,47,8,1
51035708949@N01,3990,9,1672531200,1672531220,48,8,1
51035708949@N01,3990,8,1672531200,1672531220,49,8,1
51035708949@N01,3990,23,1672531200,1672531220,50,8,1
51035708949@N01,3990,10,1672531200,1672531220,51,8,1
51035708949@N01,3990,6,1672531200,1672531220,52,8,1
8347765@N06,5947,19,1672531200,1672531220,53,9,1
8347765@N06,5947,14,1672531200,1672531220,54,9,1
