userID,trajID,poiID,startTime,endTime,#photo,trajLen,poiDuration
69161765@N08,4329,16,1672531200,1672531220,1,3,1
69161765@N08,4329,9,1672531200,1672531220,2,3,1
69161765@N08,4329,13,1672531200,1672531220,3,3,1
85644119@N00,5058,16,1672531200,1672531220,4,9,1
85644119@N00,5058,4,1672531200,1672531220,5,9,1
85644119@N00,5058,5,1672531200,1672531220,6,9,1
85644119@N00,5058,10,1672531200,1672531220,7,9,1
85644119@N00,5058,11,1672531200,1672531220,8,9,1
85644119@N00,5058,2,1672531200,1672531220,9,9,1
85644119@N00,5058,7,1672531200,1672531220,10,9,1
85644119@N00,5058,15,1672531200,1672531220,11,9,1
85644119@N00,5058,13,1672531200,1672531220,12,9,1
54364530@N08,3686,16,1672531200,1672531220,13,7,1
54364530@N08,3686,2,1672531200,1672531220,14,7,1
54364530@N08,3686,11,1672531200,1672531220,15,7,1
54364530@N08,3686,9,1672531200,1672531220,16,7,1
54364530@N08,3686,5,1672531200,1672531220,17,7,1
54364530@N08,3686,8,1672531200,1672531220,18,7,1
54364530@N08,3686,13,1672531200,1672531220,19,7,1
71778096@N00,4411,16,1672531200,1672531220,20,7,1
71778096@N00,4411,5,1672531200,1672531220,21,7,1
71778096@N00,4411,1,1672531200,1672531220,22,7,1
71778096@N00,4411,9,1672531200,1672531220,23,7,1
71778096@N00,4411,10,1672531200,1672531220,24,7,1
71778096@N00,4411,17,1672531200,1672531220,25,7,1
71778096@N00,4411,13,1672531200,1672531220,26,7,1
42151752@N05,2702,11,1672531200,1672531220,27,5,1
42151752@N05,2702,1,1672531200,1672531220,28,5,1
42151752@N05,2702,8,1672531200,1672531220,29,5,1
42151752@N05,2702,2,1672531200,1672531220,30,5,1
42151752@N05,2702,17,1672531200,1672531220,31,5,1
15265115@N06,642,11,1672531200,1672531220,32,3,1
15265115@N06,642,10,1672531200,1672531220,33,3,1
15265115@N06,642,17,1672531200,1672531220,34,3,1
11724486@N02,285,11,1672531200,1672531220,35,3,1
11724486@N02,285,1,1672531200,1672531220,36,3,1
11724486@N02,285,17,1672531200,1672531220,37,3,1
86694404@N00,5137,11,1672531200,1672531220,38,3,1
86694404@N00,5137,1,1672531200,1672531220,39,3,1
86694404@N00,5137,17,1672531200,1672531220,40,3,1
61905010@N03,3990,11,1672531200,1672531220,41,3,1
61905010@N03,3990,8,1672531200,1672531220,42,3,1
61905010@N03,3990,17,1672531200,1672531220,43,3,1
91621746@N00,5360,11,1672531200,1672531220,44,3,1
91621746@N00,5360,13,1672531200,1672531220,45,3,1
91621746@N00,5360,17,1672531200,1672531220,46,3,1
25027171@N08,1270,11,1672531200,1672531220,47,4,1
25027171@N08,1270,3,1672531200,1672531220,48,4,1
25027171@N08,1270,13,1672531200,1672531220,49,4,1
25027171@N08,1270,17,1672531200,1672531220,50,4,1
36702908@N05,2265,11,1672531200,1672531220,51,6,1
36702908@N05,2265,2,1672531200,1672531220,52,6,1
36702908@N05,2265,3,1672531200,1672531220,53,6,1
36702908@N05,2265,4,1672531200,1672531220,54,6,1
36702908@N05,2265,10,1672531200,1672531220,55,6,1
36702908@N05,2265,17,1672531200,1672531220,56,6,1
39146060@N00,2498,11,1672531200,1672531220,57,5,1
39146060@N00,2498,4,1672531200,1672531220,58,5,1
39146060@N00,2498,10,1672531200,1672531220,59,5,1
39146060@N00,2498,13,1672531200,1672531220,60,5,1
39146060@N00,2498,17,1672531200,1672531220,61,5,1
42912463@N02,2756,11,1672531200,1672531220,62,5,1
42912463@N02,2756,7,1672531200,1672531220,63,5,1
42912463@N02,2756,8,1672531200,1672531220,64,5,1
42912463@N02,2756,16,1672531200,1672531220,65,5,1
42912463@N02,2756,17,1672531200,1672531220,66,5,1
64779594@N00,4176,11,1672531200,1672531220,67,4,1
64779594@N00,4176,13,1672531200,1672531220,68,4,1
64779594@N00,4176,15,1672531200,1672531220,69,4,1
64779594@N00,4176,17,1672531200,1672531220,70,4,1
79172203@N00,4758,11,1672531200,1672531220,71,3,1
79172203@N00,4758,5,1672531200,1672531220,72,3,1
79172203@N00,4758,17,1672531200,1672531220,73,3,1
79761301@N00,4794,11,1672531200,1672531220,74,5,1
79761301@N00,4794,4,1672531200,1672531220,75,5,1
79761301@N00,4794,7,1672531200,1672531220,76,5,1
79761301@N00,4794,8,1672531200,1672531220,77,5,1
79761301@N00,4794,17,1672531200,1672531220,78,5,1
98109106@N00,5741,11,1672531200,1672531220,79,7,1
98109106@N00,5741,7,1672531200,1672531220,80,7,1
98109106@N00,5741,14,1672531200,1672531220,81,7,1
98109106@N00,5741,2,1672531200,1672531220,82,7,1
98109106@N00,5741,8,1672531200,1672531220,83,7,1
98109106@N00,5741,4,1672531200,1672531220,84,7,1
98109106@N00,5741,17,1672531200,1672531220,85,7,1
41808955@N00,2659,11,1672531200,1672531220,86,3,1
41808955@N00,2659,4,1672531200,1672531220,87,3,1
